Date,City,Temperature_F
1/1/2025,New York,32.5
1/2/2025,New York,30.1
1/3/2025,New York,33.3
1/4/2025,New York,36.9
1/5/2025,New York,30
1/6/2025,New York,30.2
1/7/2025,New York,37.5
1/8/2025,New York,34.4
1/9/2025,New York,29.6
1/10/2025,New York,33.8
1/11/2025,New York,30
1/12/2025,New York,30.1
1/13/2025,New York,33.1
1/14/2025,New York,24.7
1/15/2025,New York,25.6
1/16/2025,New York,30.5
1/17/2025,New York,28.8
1/18/2025,New York,34.4
1/19/2025,New York,29.7
1/20/2025,New York,27.9
1/21/2025,New York,39.6
1/22/2025,New York,33.1
1/23/2025,New York,34.5
1/24/2025,New York,28.8
1/25/2025,New York,32.5
1/26/2025,New York,35.4
1/27/2025,New York,30.6
1/28/2025,New York,37
1/29/2025,New York,33.4
1/30/2025,New York,34.9
1/31/2025,New York,33.9
2/1/2025,New York,44
2/2/2025,New York,36.9
2/3/2025,New York,33
2/4/2025,New York,40.8
2/5/2025,New York,32.9
2/6/2025,New York,39
2/7/2025,New York,30.6
2/8/2025,New York,33.5
2/9/2025,New York,39.9
2/10/2025,New York,42.4
2/11/2025,New York,40.5
2/12/2025,New York,39.7
2/13/2025,New York,39.3
2/14/2025,New York,34.9
2/15/2025,New York,38.3
2/16/2025,New York,39.7
2/17/2025,New York,46.1
2/18/2025,New York,43.7
2/19/2025,New York,35.6
2/20/2025,New York,44.3
2/21/2025,New York,41.9
2/22/2025,New York,41.1
2/23/2025,New York,46.6
2/24/2025,New York,48.7
2/25/2025,New York,48.7
2/26/2025,New York,42
2/27/2025,New York,44.5
2/28/2025,New York,47.5
3/1/2025,New York,50.5
3/2/2025,New York,45.1
3/3/2025,New York,46.6
3/4/2025,New York,43.4
3/5/2025,New York,43.4
3/6/2025,New York,51.9
3/7/2025,New York,54.5
3/8/2025,New York,49.2
3/9/2025,New York,53.9
3/10/2025,New York,51.7
3/11/2025,New York,48.1
3/12/2025,New York,52.6
3/13/2025,New York,57.7
3/14/2025,New York,51.9
3/15/2025,New York,58.7
3/16/2025,New York,42.4
3/17/2025,New York,56.6
3/18/2025,New York,54.1
3/19/2025,New York,52.9
3/20/2025,New York,54.9
3/21/2025,New York,47
3/22/2025,New York,54.6
3/23/2025,New York,57.3
3/24/2025,New York,62.2
3/25/2025,New York,54.6
3/26/2025,New York,53.9
3/27/2025,New York,55.6
3/28/2025,New York,61.7
3/29/2025,New York,59.7
3/30/2025,New York,56.7
3/31/2025,New York,61.3
4/1/2025,New York,60.1
4/2/2025,New York,64
4/3/2025,New York,57.7
4/4/2025,New York,59.7
4/5/2025,New York,59.8
4/6/2025,New York,55.9
4/7/2025,New York,63.4
4/8/2025,New York,63.7
4/9/2025,New York,63.1
4/10/2025,New York,62.5
4/11/2025,New York,58.2
4/12/2025,New York,62.6
4/13/2025,New York,63.3
4/14/2025,New York,61.8
4/15/2025,New York,64.8
4/16/2025,New York,67.4
4/17/2025,New York,73.8
4/18/2025,New York,67.3
4/19/2025,New York,68
4/20/2025,New York,67
4/21/2025,New York,60
4/22/2025,New York,68
4/23/2025,New York,68.7
4/24/2025,New York,78.7
4/25/2025,New York,68.4
4/26/2025,New York,70.7
4/27/2025,New York,69.7
4/28/2025,New York,65.5
4/29/2025,New York,75.1
4/30/2025,New York,73.9
5/1/2025,New York,74.4
5/2/2025,New York,67.9
5/3/2025,New York,77.5
5/4/2025,New York,66.6
5/5/2025,New York,74.8
5/6/2025,New York,81.6
5/7/2025,New York,69.1
5/8/2025,New York,71.1
5/9/2025,New York,74.1
5/10/2025,New York,71.9
5/11/2025,New York,68
5/12/2025,New York,74.8
5/13/2025,New York,70.5
5/14/2025,New York,76.9
5/15/2025,New York,71.6
5/16/2025,New York,81.7
5/17/2025,New York,72.6
5/18/2025,New York,74.7
5/19/2025,New York,79.5
5/20/2025,New York,71.5
5/21/2025,New York,77.6
5/22/2025,New York,82.1
5/23/2025,New York,70.7
5/24/2025,New York,78
5/25/2025,New York,78.5
5/26/2025,New York,80.8
5/27/2025,New York,72.9
5/28/2025,New York,72.7
5/29/2025,New York,80.3
5/30/2025,New York,79.5
5/31/2025,New York,79.5
6/1/2025,New York,80
6/2/2025,New York,76.1
6/3/2025,New York,79.8
6/4/2025,New York,80.2
6/5/2025,New York,76.3
6/6/2025,New York,86.7
6/7/2025,New York,81.2
6/8/2025,New York,74.7
6/9/2025,New York,82.2
6/10/2025,New York,75.7
6/11/2025,New York,82.8
6/12/2025,New York,84.4
6/13/2025,New York,76.5
6/14/2025,New York,83.7
6/15/2025,New York,81.5
6/16/2025,New York,83.2
6/17/2025,New York,87.5
6/18/2025,New York,79
6/19/2025,New York,77
6/20/2025,New York,76.4
6/21/2025,New York,76.7
6/22/2025,New York,79.7
6/23/2025,New York,81.3
6/24/2025,New York,81.1
6/25/2025,New York,83.2
6/26/2025,New York,79.9
6/27/2025,New York,85.6
6/28/2025,New York,78.7
6/29/2025,New York,90.6
6/30/2025,New York,82.2
7/1/2025,New York,76.1
7/2/2025,New York,75.2
7/3/2025,New York,81.3
7/4/2025,New York,78.4
7/5/2025,New York,82.1
7/6/2025,New York,81
7/7/2025,New York,78.7
7/8/2025,New York,75.5
7/9/2025,New York,72.6
7/10/2025,New York,76.8
7/11/2025,New York,81.8
7/12/2025,New York,79.1
7/13/2025,New York,73.1
7/14/2025,New York,78.6
7/15/2025,New York,79.3
7/16/2025,New York,74
7/17/2025,New York,78
7/18/2025,New York,77.4
7/19/2025,New York,72.4
7/20/2025,New York,78.2
7/21/2025,New York,78.8
7/22/2025,New York,80.7
7/23/2025,New York,80.3
7/24/2025,New York,70.4
7/25/2025,New York,71.9
7/26/2025,New York,77.5
7/27/2025,New York,77.2
7/28/2025,New York,77
7/29/2025,New York,90.1
7/30/2025,New York,76.7
7/31/2025,New York,78.6
8/1/2025,New York,77.6
8/2/2025,New York,76.1
8/3/2025,New York,72
8/4/2025,New York,76
8/5/2025,New York,69.5
8/6/2025,New York,71.4
8/7/2025,New York,70.1
8/8/2025,New York,72
8/9/2025,New York,80.6
8/10/2025,New York,63.6
8/11/2025,New York,73.5
8/12/2025,New York,63.9
8/13/2025,New York,68.2
8/14/2025,New York,74.1
8/15/2025,New York,69.6
8/16/2025,New York,64.7
8/17/2025,New York,65.8
8/18/2025,New York,71
8/19/2025,New York,65
8/20/2025,New York,68.4
8/21/2025,New York,67.3
8/22/2025,New York,64.2
8/23/2025,New York,75
