user,tv_episodes,rating
Tenzin,Squid Game,5
Tenzin,Emily in Paris,4
Tenzin,Ginny&Georgia,3
Tenzin,Brigerton,4
Tenzin,Wednesday,5
Tenzin,Stranger Things,
Laura,Squid Game,4
Laura,Emily in Paris,5
Laura,Ginny&Georgia,4
Laura,Brigerton,5
Laura,Wednesday,4
Laura,Stranger Things,
Zara,Squid Game,5
Zara,Emily in Paris,
Zara,Ginny&Georgia,
Zara,Brigerton,
Zara,Wednesday,5
Zara,Stranger Things,
Dolma,Squid Game,5
Dolma,Emily in Paris,5
Dolma,Ginny&Georgia,4
Dolma,Brigerton,3
Dolma,Wednesday,
Dolma,Stranger Things,
Jose,Squid Game,
Jose,Emily in Paris,5
Jose,Ginny&Georgia,4
Jose,Brigerton,4
Jose,Wednesday,4
Jose,Stranger Things,
